Generation,evals,avg,std,min,max,best_one,fitness_best_one
58,3192,[  7.        390.3263982],[0.         0.71925482],[  7.         386.78125169],[  7.         391.14784441],"[16, 14, 12, 7, 4, 2, 1, 15, 13, 8, 9, 6, 3, 5, 19, 18, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 386.7812516909861)"
59,3168,[  7.         389.77478021],[0.        0.6293969],[  7.         385.91629427],[  7.         390.28288698],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 18, 19, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 385.91629426562554)"
60,3184,[  7.         389.33728965],[0.         0.67833979],[  7.         385.91629427],[  7.         389.81940925],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 18, 19, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 385.91629426562554)"
61,3240,[  7.         388.84238376],[0.         0.69351187],[  7.         385.91629427],[  7.         389.81940925],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 18, 19, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 385.91629426562554)"
62,3114,[  7.         388.31413433],[0.         0.56655301],[  7.         385.91629427],[  7.         388.95445182],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 18, 19, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 385.91629426562554)"
63,3188,[  7.         387.89242902],[0.         0.47185821],[  7.         385.91629427],[  7.         388.10968685],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 18, 19, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 385.91629426562554)"
64,3208,[  7.         387.64263298],[0.         0.60550309],[  7.         385.91629427],[  7.         388.10968685],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 18, 19, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 385.91629426562554)"
65,3220,[  7.         387.16765759],[0.         0.55724333],[  7.         385.91629427],[  7.         388.10968685],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 18, 19, 17, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 385.91629426562554)"
66,3250,[  7.         386.76057261],[0.         0.38189408],[  7.         385.82932297],[  7.         387.24472943],"[16, 14, 12, 7, 4, 2, 1, 15, 13, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 23, 22, 25, 24, 20]","(7.0, 385.82932296585295)"
67,3162,[  7.         386.51745488],[0.         0.39688215],[  7.         385.05824663],[  7.         386.78125169],"[16, 14, 12, 7, 4, 2, 1, 13, 15, 8, 9, 6, 3, 5, 17, 18, 19, 11, 10, 21, 22, 23, 25, 24, 20]","(7.0, 385.05824662979256)"
